conversation_tagging_id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
532	How i check my usage	1472790695	10843	0	5	English	Billing	Billing Details	Billing	BillBreakdown	Procedure	FALSE	HowViewItems
532	Why bill no send to my email	1472790718	10843	0	7	English	Billing	Billing Details	Billing	Document	Reason	False	WhyNoEmail
556	can i get the offical receipt for past payment?	1473396375	11621	0	9	English	Billing	Payment Status	Billing	Document	Request	True	RequestSendBill
606	I need a bill from Jan 2016 -june 2016. TQ	1474276562	12603	0	9	English	Billing	Billing Cycle	Billing	Document	Request	False	RequestSendBill
606	I need a bill from jan 2016 -june 2016. 	1474276687	12603	0	8	English	Billing	Billing Cycle	Billing	Document	Request	False	RequestSendBill
625	I need to print out the invoice?	1474352561	12670	0	7	English	Billing	Make Payment - Selfcare	Billing	Document	Procedure	False	HowDownloadBill
625	I just want to print out billing for account purpose	1474353054	12670	0	10	English	Billing	Make Payment - Selfcare	Billing	Document	Procedure	False	HowDownloadBill
628	Hi , can you assist to retrieve my bill of month June, and May?	1474353553	12676	0	14	English	Billing	Billing Address	Billing	Document	Request	True	RequestSendBill
628	why do i need to pay for retrieve bill	1474354584	12676	0	9	English	Billing	Billing Address	Billing	Document	Reason	False	DocumentFee
628	this is ridiculous. Why do customer need to pay for bill statement when you supposed to provide them free	1474355162	12676	0	19	English	Billing	Billing Address	Billing	Document	Reason	False	DocumentFee
657	hi, can I have my phone bill statement for the month of May 2016 	1474446955	12807	0	14	English	Billing	Reprint / Resend Bill	Billing	Document	Request	True	RequestSendBill
661	may i know the calling record for my account?	1474451855	12815	0	9	English	Billing	Billing Details	Billing	BillBreakdown	Request	FALSE	ItemAmount
662	Maybi know my calling record for last few months?	1474452823	12818	0	9	English	Billing	Voice Call Rate	Billing	BillBreakdown	Request	FALSE	ItemAmount
662	I want june, july and august calling record	1474453228	12818	0	8	English	Billing	Voice Call Rate	Billing	BillBreakdown	Reason	FALSE	ItemAmount
695	I CAN PRINT OUT ON MAY 2015 INVOICE???	1474538906	12913	0	8	English	Billing	Billing Details	Billing	Document	Request	False	HowDownloadBill
728	Can i get my bill for june 2016 	1474701645	13024	0	8	English	Billing	Billing Address	Billing	Document	Request	True	RequestSendBill
731	May I know actual update my total billing till 24 / 9 / 2016. tq	1474704721	13027	0	10	English	Billing	Billing Charges	Billing	BillOutstanding	ObjectNumeric	True	BillAmount
748	What is my bill amount total on 31 August 2016 ?	1474794106	13082	0	10	English	Billing	Billing Charges	Billing	BillOutstanding	ObjectNumeric	FALSE	BillAmount
761	hi i just wanna know can i have my may 2016 billing email to me because i need that billing for my work claim.	1474854250	13113	0	24	English	Billing	Reprint / Resend Bill	Billing	Document	Request	False	RequestSendBill
761	i need to know whether i can have my May billing to email to me	1474855178	13113	0	15	English	Billing	Reprint / Resend Bill	Billing	Document	Others	True	RequestSendBill
780	how can i check my previo us 6 month bills ( January-june)?	1474883995	13168	0	11	English	Billing	Billing Address	Billing	Document	Procedure	False	HowViewBill
794	i dont understand how to review bills for september	1474944822	13211	0	9	English	Billing	Billing Details	Billing	Document	Procedure	False	HowViewBill
808	Hi, can i have a copy of the bill from Mar 2016 till July 2016 ?	1474955425	13236	0	15	English	Billing	Billing Details	Billing	Document	Request	True	RequestSendBill
811	HOW TO DOWNLOAD PDF FILE OUR BILL?	1474958304	13245	0	7	English	Billing	Make Payment - Selfcare	Billing	Document	Procedure	False	HowDownloadBill
813	can i have my statement ?	1474959407	13250	0	6	English	Billing	Billing Charges	Billing	Document	Request	True	RequestSendBill
814	just wondering can i view my suppline bill ?	1474960935	13255	0	9	English	Billing	Billing Details	Billing	Document	Request	True	HowViewBill
822	DEBIT MOVEMENT	1474977741	13288	0	2	English	Billing	Billing Error	Billing	BillBreakdown	ObjectDefinition	FALSE	ItemDefinition
822	I wan ask about debit movent on my august bill?	1474977848	13288	0	10	English	Billing	Billing Error	Billing	BillBreakdown	ObjectDefinition	FALSE	ItemDefinition
835	can you check any data top up in Aug for 0110532562 	1475030450	13325	0	11	English	Billing	Data Bundle / PPU Rate	Billing	BillBreakdown	ObjectNumeric	True	ItemAmount
861	WHERE IN MY BILL IT WILL BE STATED THAT MY EXTRA PAYMENT IS CARRIED FORWARD	1475063879	13422	0	15	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	FALSE	HowViewItems
878	hi, how do i get receipt for payment that i just made?	1475132622	13492	0	12	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
898	after I've filled in all info like what i did every month since 2 years ago. it just stop / hang on "processing" and some shows bad gate. do you have my latest transactions records?	1475201318	13544	0	35	English	Billing	Make Payment - Selfcare	Billing	Document	Request	False	RequestSendBill
899	so where can I download the form??	1475203502	13550	0	7	English	Billing	Deposit Refund	Billing	Document	Procedure	False	HowDownloadBill
899	so hw should I pass this form to you..?	1475203844	13550	0	9	English	Billing	Deposit Refund	Billing	None	Procedure	FALSE	None
1221	Ok. Can i ask for the bill details here?	1476167190	14997	0	9	English	Billing	Billing Details	Billing	BillBreakdown	ObjectNumeric	FALSE	TotalBreakdown
1232	can i request bill that state my updated adress	1476243493	15068	0	9	English	Billing	Billing Address	Billing	Document	Request	True	RequestSendBill
1232	cause as of now i did not received any bill stateent	1476243542	15068	0	11	English	Billing	Billing Address	Billing	Document	None	False	None
1232	can i get the updated statement for september?	1476243874	15068	0	8	English	Billing	Billing Address	Billing	Document	Request	True	RequestSendBill
1234	May i know how to print out statement?	1476243861	15071	0	8	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
1244	can i request bill statement with the latest address ?	1476251721	15090	0	10	English	Billing	Billing Address	Billing	Document	Request	True	RequestSendBill
1244	the bill statement is required from bank for verification	1476251921	15090	0	9	English	Billing	Billing Address	Billing	Document	None	False	None
1244	can u resend the statement with latest adress	1476252079	15090	0	8	English	Billing	Billing Address	Billing	Document	Request	True	RequestSendBill
1244	can i get the statement?	1476252534	15090	0	5	English	Billing	Billing Address	Billing	Document	ObjectOthers	True	RequestSendBill
1248	hi, how to download bill in PDF format?	1476255021	15098	0	8	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
1249	hi... i need the Jul 2016 bill.	1476257027	15101	0	7	English	Billing	Billing Details	Billing	Document	Request	False	RequestSendBill
1250	Can i get my previous invoice bill start from june-august	1476257046	15102	0	10	English	Billing	Billing Details	Billing	Document	Request	True	RequestSendBill
1266	another thing, how come i never receive my statement thru email??	1476320218	15143	0	11	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Document	Reason	False	WhyNoEmail
1274	I cannot find the other mobile number in the bill.	1476324995	15155	0	10	English	Billing	Billing Details	Billing	Document	Reason	False	DocumentOthers
1274	Found 0102420128 - 201301895 in Page 5 	1476325445	15155	0	7	English	Billing	Billing Details	Billing	Document	None	False	None
1276	CAN I GET MY BIL FROM JAN 2016 ?	1476325470	15167	0	8	English	Billing	Billing Details	Billing	Document	Request	True	RequestSendBill
1290	kindly pls help me..i need my bill for july 2016 but i cant download in the website	1476341451	15218	0	17	English	Billing	Billing Details	Billing	Document	Request	False	RequestSendBill
1290	like others month invoice	1476341860	15218	0	4	English	Billing	Billing Details	Billing	Document	None	False	None
1290	ok..can i know when i can get the invoice	1476341975	15218	0	9	English	Billing	Billing Details	Billing	Document	ObjectTime	False	TimeToGetBill
1290	pls send to me by email	1476342072	15218	0	6	English	Billing	Billing Details	Billing	Document	None	False	None
1290	kindly pls cc to my personal email too zaczaina 1990 @gmail.com	1476342118	15218	0	9	English	Billing	Billing Details	Billing	Document	None	False	None
1295	just now i request for bill july 2016. the ticket no is 139030 	1476344384	15227	0	12	English	Billing	Billing Address	Billing	Document	None	False	None
1295	i received the bill in my email but that is not the bill that i want	1476344406	15227	0	16	English	Billing	Billing Address	Billing	Document	None	False	None
1295	i need the previous bill	1476344423	15227	0	5	English	Billing	Billing Address	Billing	Document	Request	False	RequestSendBill
1295	i need the bill which is invoice date is 1 / 7 / 2016 and due is 31 / 7 / 2016 right? i mention it before. but the 1 that you email to us is invoice on 1 / 8 / 2016 due date is 31 / 8 / 2016 	1476344552	15227	0	35	English	Billing	Billing Address	Billing	Document	None	False	None
1295	the invoice that you give to me is the invoice that i can download in the website. i need the previous 1	1476344581	15227	0	22	English	Billing	Billing Address	Billing	Document	Request	False	RequestSendBill
1295	which i cant download in the website	1476344613	15227	0	7	English	Billing	Billing Address	Billing	Document	None	False	None
1300	but invoice ID show shows 1610 means for Oct invoice?	1476347296	15233	0	10	English	Billing	Make Payment - Selfcare	Billing	Document	ObjectOthers	True	DocumentOthers
1316	Email verrified AND epaper	1476361577	15276	0	4	English	Billing	Non-receipt of bills	Billing	Document	None	False	None
1316	Email verified my billing address, but not received from your mail	1476361637	15276	0	11	English	Billing	Non-receipt of bills	Billing	Document	None	False	None
1316	we not received mail. please check	1476361669	15276	0	6	English	Billing	Non-receipt of bills	Billing	Document	None	False	None
1316	i also register for free Epaper , but still not received. please check too./	1476361792	15276	0	14	English	Billing	Non-receipt of bills	Billing	Document	Reason	False	WhyNoEmail
1316	what is my free epaper status ?	1476363543	15276	0	7	English	Billing	Non-receipt of bills	Billing	Document	ObjectOthers	False	DocumentOthers
1322	I can't download the Invoice for my Aug to Oct months. I want to check the invoice details before making payment. Please help with this issue. Thank you.	1476404325	15287	0	28	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Request	FALSE	CannotViewBill
1341	September invoice no. 1609 - 201797454 	1476450850	15381	0	3	English	Billing	Billing Charges	Billing	Document	None	False	None
1354	i dont have bill here with me	1476511421	15464	0	7	English	Billing	Make Payment - Selfcare	Billing	Document	None	False	None
1356	invoice date 1 / 10 	1476515392	15476	0	3	English	Billing	Billing Details	Billing	Document	None	False	None
1359	i want to download the statement now.	1476515221	15483	0	7	English	Billing	Billing Details	Billing	Document	None	False	HowDownloadBill
1359	but cannot download at all	1476515242	15483	0	5	English	Billing	Billing Details	Billing	Document	None	False	None
1367	hi, may i know how to get my bill payment receipt? for your information, i just paid my bill of October via online banking.	1476528775	15518	0	24	English	Billing	Payment Status	Billing	Document	Procedure	False	HowDownloadBill
1367	hi, may i know how to get my bill payment receipt? for your information, i just paid my bill of October via online banking.	1476528829	15518	0	24	English	Billing	Payment Status	Billing	Document	Procedure	False	RequestSendBill
1375	but how come the official receipt from ur side is blank?	1476582294	15568	0	11	English	Billing	Payment Status	Billing	BillingTroubleShooting	Reason	FALSE	ReceiptProblem
1393	i would like to view my April' 16 all incoming and outgoing call. what should i do? thanks	1476600147	15630	0	17	English	Billing	Billing Cycle	Billing	BillBreakdown	Procedure	FALSE	HowViewItems
1422	how can i get the recipt?	1476678444	15751	0	6	English	Billing	Payment Status	Billing	Document	Procedure	False	HowDownloadBill
1423	Then, how can I get the past receipts?	1476680204	15763	0	8	English	Billing	Billing Address	Billing	Document	Procedure	False	HowDownloadBill
1444	hi <NL>how do i get my bill for august 2016 and July 2016 ?	1476770315	15896	0	13	English	Billing	Billing Address	Billing	Document	Procedure	False	HowDownloadBill
1444	just want July 2016 usage (august invoice)	1476770807	15896	0	7	English	Billing	Billing Address	Billing	Document	Request	False	RequestSendBill
1456	how to print Official Receipt for pymt made, as i need to support by expenses claim	1476784801	15932	0	16	English	Billing	Make Payment - Selfcare	Billing	Document	Procedure	False	HowDownloadBill
1456	AUto Debit : 1 ) is there any Official Receipt? 2 ) can print usage summary?	1476785327	15932	0	14	English	Billing	Make Payment - Selfcare	Billing	Document	Procedure	False	HowDownloadBill
1456	how to proof for the pymt made	1476785565	15932	0	7	English	Billing	Make Payment - Selfcare	Billing	None	Procedure	FALSE	None
1456	How to check or any summary for monthly usage	1476785862	15932	0	9	English	Billing	Make Payment - Selfcare	Billing	Document	Procedure	False	HowViewBill
1456	where to go for monthly summary list to view	1476786061	15932	0	9	English	Billing	Make Payment - Selfcare	Billing	Document	Procedure	False	HowViewBill
1461	Good. I prefer soft copy bill. tq.	1476833308	15953	0	7	English	Billing	Billing Details	Billing	Document	None	False	None
1467	Ok. I tried again, but receipt still don't show up correct. Probably try later. Thc	1476853230	15990	0	15	English	Billing	Payment Status	Billing	Document	None	False	None
1470	about the submit payment but no receive the receipt	1476857020	16001	0	9	English	Billing	Payment Status	Billing	Document	None	False	None
1478	I CAN'T VIEW APRIL & MAY 1026 BILLS DETAIL, CAN YOU UPLOAD FOR ME TO PRINT OUT ?	1476863413	16021	0	18	English	Billing	Billing Cycle	Billing	BillingTroubleShooting	Request	FALSE	CannotViewBill
1499	can I had the invoice from Feb 2016 to July 2016 ??	1476932122	16068	0	11	English	Billing	Billing Details	Billing	Document	Request	True	RequestSendBill
1499	Huh... your system can kept 3 months bills only.	1476932493	16068	0	9	English	Billing	Billing Details	Billing	Document	None	False	None
1567	hi can i check my previous paymet make?	1477209498	16323	0	8	English	Billing	Reprint / Resend Bill	Billing	Document	Request	True	HowViewBill
1591	Hi....How to download previous bill? for invoice date 01 June 2016 	1477363972	16450	0	11	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
1592	Request Bill	1477368089	16462	0	2	English	Billing	Billing Details	Billing	Document	Request	False	RequestSendBill
1602	Jz made payt on line why can't print receipt ?	1477444874	16524	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	FALSE	ReceiptProblem
1602	I jz made payt on line but I can't print out the official receipt....why?	1477445074	16524	0	14	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	FALSE	ReceiptProblem
1612	How to terminate paper bill?	1477461023	16559	0	5	English	Billing	Change of Billing Details	Billing	Document	Procedure	False	RequestStopSendEveryMonth
1616	Cant download bill	1477463113	16566	0	3	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1623	why cannot download bill?	1477529640	16620	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1658	I want confirm my july bills is paid how much	1477652309	16816	0	10	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	FALSE	LastPayment
1658	I want confirm my july bills is paid how much	1477652336	16816	0	10	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	FALSE	LastPayment
1658	i want know my june and july bills i paid how much?	1477652462	16816	0	12	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	FALSE	LastPayment
1658	may is how much	1477652828	16816	0	4	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	FALSE	LastPayment
1658	june is how much?	1477652836	16816	0	4	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	FALSE	LastPayment
1658	may bills is how much?	1477652921	16816	0	5	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	FALSE	LastPayment
1658	june bills is how much	1477652933	16816	0	5	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	FALSE	LastPayment
1658	i cannot download the may and june bills	1477653028	16816	0	8	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1674	I can't view my bill	1477743328	16882	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1675	Can I see my bill??	1477743606	16883	0	5	English	Billing	Billing Details	Billing	Document	Procedure	True	HowViewBill
1675	For november	1477743616	16883	0	2	English	Billing	Billing Details	Billing	None	None	FALSE	None
1679	How can I get the Statement???	1477807075	16915	0	6	English	Billing	Billing Charges	Billing	Document	Procedure	False	HowDownloadBill
1682	can you help me check for my bill at August?	1477813830	16924	0	10	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	True	LastPayment
1682	how about you help me check for month september?	1477814850	16924	0	9	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	FALSE	LastPayment
1685	How to download May, Jun, Jul 2016 Invoice?	1477819881	16935	0	8	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
1692	i want to see my other line call out list ,but at my page just can see my list	1477872888	16960	0	19	English	Billing	Billing Details	Billing	BillBreakdown	Procedure	FALSE	HowViewItems
1729	I misout download the july bill. how can I get back?	1477905963	17092	0	11	English	Billing	Reprint / Resend Bill	Billing	Document	Procedure	False	HowDownloadBill
1737	BECAUSE THE BILL STILL NOT POST AT MY ACCOUNT TO DOWNLOAD	1477957069	17135	0	11	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
1740	Hi, I can't download my bills.	1477960316	17144	0	6	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1746	our problem.. i can't download the detail bill to our file..	1477964638	17176	0	11	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1749	hello. why i can't download invoice date today 1 nov 2016 ?	1477965229	17191	0	11	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1754	Hi, i cant download the bill for Nov 01. It only brings me to a blank page. Thank you	1477968208	17230	0	19	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1755	WHY CANT DOWNLOAD STATEMENT?	1477969465	17240	0	4	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1756	Still not able to dwld the latest tax invoice?	1477969800	17243	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1767	hello <NL>my bill still not ready	1477976151	17294	0	6	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1769	Hi, may I konw how to download my bill? I manage to download previously, but this month i cant download...	1477976986	17297	0	20	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	True	CannotViewBill
1776	i forgot mu husband log in password, how can i check our bill using mu phone no?	1477981742	17337	0	17	English	Billing	Billing Details	Billing	Document	Procedure	False	HowViewBill
1786	Why i cannot downliad my bill?	1477990398	17405	0	6	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1786	Why i cannot downliad my bill?	1477990707	17405	0	6	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1795	Hello. Why until now i cnt download invoice for the latest 1,	1478000457	17454	0	12	English	Billing	Billing Error	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1796	also how to check the bill for master & subline respectively?	1478001111	17455	0	11	English	Billing	Billing Details	Billing	Document	Procedure	False	HowViewBill
1800	why can't download bill statement?	1478003828	17465	0	5	English	Billing	Reprint / Resend Bill	Billing	BillingTroubleShooting	Reason	FALSE	CannotViewBill
1828	can i view back my last bill ?	1478067957	17591	0	8	English	Billing	Billing Details	Billing	Document	Procedure	True	HowViewBill
1868	hi, i usually get my monthly statement for A/c 01127340433 via email.<NL>But for the past few months it was sent to my mail box. Please advise.	1478146210	17763	0	26	English	Billing	Billing Details	Billing	Document	Reason	False	WhyNoEmail
1868	i received those statement regularly. why suddenly changed? or someelse changed for me?	1478146413	17763	0	13	English	Billing	Billing Details	Billing	Document	Reason	False	WhyNoEmail
1894	how to download bill	1478220774	17897	0	4	English	Billing	Make Payment - Selfcare	Billing	Document	Procedure	False	HowDownloadBill
1910	How to print out the bill?	1478238011	17966	0	6	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
1916	CAN I GET MY SEP INVOICE	1478246588	18006	0	6	English	Billing	Reprint / Resend Bill	Billing	Document	Request	False	RequestSendBill
1935	I need to know why my invoice date 1 October 2016 statement dont receive ?	1478335318	18111	0	15	English	Billing	Billing Details	Billing	Document	Reason	False	WhyNoEmail
1936	If my another account was active how do i register online statement ?	1478338258	18117	0	13	English	Billing	Billing Details	Billing	Document	Procedure	False	DocumentOthers
1953	Please send me the AUG & SEP bill <NL>chonfai.ng@gmail.com	1478496247	18266	0	9	English	Billing	Billing Details	Billing	Document	Request	False	RequestSendBill
1961	can i view my previous bill?	1478511208	18321	0	6	English	Billing	Billing Cycle	Billing	Document	Procedure	True	HowViewBill
1968	Can i have the copy of Aug 2016 bill	1478575029	18377	0	9	English	Billing	Reprint / Resend Bill	Billing	Document	Request	True	HowDownloadBill
2010	I prefer e-statement, how do I opt for it to avoid the payment of RM 5 paper statement charges each month?<NL><NL>Chan Man Ooi 6796 	1478828059	18660	0	23	English	Billing	Reprint / Resend Bill	Billing	Document	Procedure	False	DocumentFee
2010	I prefer e-statement, how do I opt for it to avoid the payment of RM 5 paper statement charges each month?	1478828127	18660	0	20	English	Billing	Reprint / Resend Bill	Billing	Document	Procedure	False	DocumentFee
2010	So after I registered it then the statement will send by email to me every month? And the charges of RM 5 will be eliminated?	1478828580	18660	0	24	English	Billing	Reprint / Resend Bill	Billing	Document	Procedure	False	DocumentFee
2013	Hi, can i get the tax invoice for Aug,Jul,Jun,May,Apr & Mar' 16 	1478844745	18689	0	11	English	Billing	Reprint / Resend Bill	Billing	Document	Request	True	RequestSendBill
2013	Hi, can i get the tax invoice for Aug,Jul,Jun,May,Apr & Mar' 16 	1478846355	18689	0	11	English	Billing	Reprint / Resend Bill	Billing	Document	Request	True	RequestSendBill
2062	CAN I KNOW HOT TO DOWNLOAD MY BILL?	1479102971	18937	0	8	English	Billing	Billing Details	Billing	Document	Procedure	True	HowDownloadBill
2066	can u help me send monthly statement to my email?	1479106757	18953	0	10	English	Billing	Billing Details	Billing	Document	Request	True	RequestSendEveryMonth
2077	i want to know how do i get my july and aug bill	1479115271	18991	0	13	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
2095	hi, i would like to download the redONE bill in Aug' 16 ?	1479181601	19106	0	11	English	Billing	Billing Address	Billing	Document	Procedure	False	HowDownloadBill
2106	How can I receive the e statement bills every month at my email	1479196792	19164	0	13	English	Billing	Auto Debit Application	Billing	Document	Procedure	False	RequestSendEveryMonth
2106	i already requested i want e statement bill to be send to my email every month	1479197865	19164	0	16	English	Billing	Auto Debit Application	Billing	Document	None	False	RequestSendEveryMonth
