Billing	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario							
234	5762	110897	why can not pay my payment?	1467881438	5004	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
234	5766	110901	i click pay now after not have any response	1467881561	5004	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
235	5787	111011	i tried to use cimb click.. but there's no option for red 1 in the billers option	1467884320	5008	0	17	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotFindPayee							
237	5829	111243	why error for jompay?	1467895593	5015	0	4	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
239	5867	111266	i cannot pay through online here.please help	1467896245	5017	0	7	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
244	5999	111729	when I enter RM 50.00 it said invalid amount ????	1467950491	5037	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	BillingTroubleShootingOthers							
245	6019	111766	I cant pay my bill using credit card. IE cannot display webpage	1467951191	5038	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
246	6030	112102	Why I can't pay on line	1467960793	5051	0	6	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
246	6035	112107	cannot download and pay bill	1467960945	5051	0	5	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
250	6120	112315	HI, I WANT TO MAKE PAYMENT AND I CLICK PAY NOW BUT WHY NO RESPONSE TO NEXT PAGE?	1467969473	5063	0	18	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
251	6133	112381	cant download to pay my bill	1467970865	5065	0	6	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
251	6134	112384	cant download to pay my bill	1467970889	5065	0	6	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
251	6137	112388	i cant download and pay my bill	1467971021	5065	0	7	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
257	6300	114619	when I clicked pay now, pop up window, invalid account	1468136480	5157	0	10	English	Billing	Waiver	Billing	BillingTroubleShooting	Procedure	False	AccountInvalid							
258	6358	114679	cannot oneline paid payment	1468138353	5159	0	4	English	Billing	Payment Type	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
260	6407	115572	WHY I CANT PAY MY BIL	1468206991	5203	0	6	English	Billing	Payment Type	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
268	6564	120265	why i cant pay online?	1468377403	5404	0	5	English	Billing	Payment Type	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
277	6829	124665	Hi <NL>why I cant not download the bill payment	1468481676	5597	0	9	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	WhyCannotViewBill							
282	6920	125344	dear redone i cant payonline? did u have any problem in ur system?	1468488938	5621	0	13	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	True	CannotPayBill							
283	6938	125346	PAYMENT PROBLEM	1468488944	5622	0	2	English	Billing	Payment Status	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
284	6967	138453	how to do pop up blocker?	1468815947	6206	0	6	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	HowEnablePopOut							
284	6975	138486	i press download but still can not	1468816447	6206	0	7	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
284	6979	138496	i click pay now but still no action	1468816607	6206	0	8	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
289	7146	140301	can i make my payment OFFLINE?	1468835339	6271	0	6	English	Billing	Payment Type	Billing	PaymentChannel	Procedure	True	HowPay							
291	7183	140656	Hi there<NL>why can't I download my bill and make payment now?	1468842629	6284	0	11	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
311	7647	148312	HAI HOW TO DOWLOAD PAY TO BILL BUT CANT	1469166159	6582	0	9	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
321	7847	153428	I can't pay my bill on line?????	1469437549	6787	0	7	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
321	7851	153443	I wanted to pay my bill but when I log in to 'pay now' there's no respond.	1469437727	6787	0	17	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
323	7918	153665	Hi.. the payment page not available	1469441686	6796	0	6	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
323	7924	153679	i tried to pay online	1469441737	6796	0	5	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
324	7953	153721	why cannot click at 'pay now'	1469442025	6798	0	6	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
324	7960	153751	i know but now i cannot click PAY NOW. no pop-up appear at screen	1469442296	6798	0	14	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
325	7972	153780	why i cant paynow	1469443210	6799	0	4	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
356	8729	182307	Good Day, I am trying to pay my bill online. After I click the Download & Pay Bill, I cannot find any bill to pay. The list Show: No Result Found!	1470299665	8083	0	31	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	NoResultFound							
357	8754	182329	hai good evening, im vanmathi here, can i know why i cant make payment through online?	1470299834	8084	0	16	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
359	8807	184290	CANNOT pay	1470370499	8164	0	2	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
359	8815	184306	i click pay now..nor respon	1470370598	8164	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
363	8873	184728	how to pay my bill? howcome i click on the pay now, no reaction? last time i use to click at the same procedure, but today can't proceed?	1470382807	8183	0	28	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
365	8914	184780	i can't make online payment	1470383952	8186	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
367	8967	187263	Can't make payment	1470537257	8301	0	3	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
378	9203	195638	Dear Sir/Madam<NL><NL>Good day.<NL><NL>I ady settle my Aug bill 10 th<NL><NL>Why the column from "Download & Pay Bill" still stated Pay Now?	1470974136	8701	0	20	English	Billing	Billing Charges	Billing	BillingTroubleShooting	Reason	False	NoResultFound							
379	9232	196056	why im cant make payment	1470981050	8714	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
384	9350	197675	Can you help me with payment? I am unable to make payment online due to your system	1471074741	8794	0	17	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
388	9442	199475	Is the online payment system down?	1471167302	8872	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	True	CannotPayBill							
393	9515	199742	click many time already 'pay now' , but cannot.. what is the problem?	1471178495	8889	0	13	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
394	9524	201789	is that system prolem..why i cant make payment	1471242720	8983	0	8	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
394	9533	202048	i ady try..but cant?<NL>is that system offilne now?	1471244519	8983	0	8	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	True	CannotPayBill							
396	9576	201866	PAY BILL VIA MAYBANK 2 U<NL>SHOWS: This option is not available either due to the banks non-operating hours or the service is temporarily not available	1471243303	8988	0	23	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	ErrorCode							
406	9777	203462	why pay now cannot press	1471261556	9062	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
407	9789	203586	Hi...why I cannot make payment online	1471263373	9068	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
432	10376	215298	why i press pay now to make payment nothing come out?	1471655865	9509	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
438	10510	219189	I cant make bill payment	1471870232	9671	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
446	10724	223032	why can't pay bill?	1472025680	9817	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
446	10730	223058	y cannot pay bill now?	1472025801	9817	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
455	10907	228970	Hi, may I know why after I click the "pay now" there is no respond ?	1472276583	10049	0	16	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
484	11636	236321	sorry to bother why when i press pay now i'm not directed to anywhere so i may pay?	1472538562	10323	0	18	English	Billing	Auto Debit Application	Billing	BillingTroubleShooting	Procedure	True	WhyCannotPayBill							
494	11855	239122	Hello why im paying the red 1 bill in online but the page existed is the url is not exist	1472620815	10432	0	20	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	True	WhyCannotPayBill							
513	12313	244367	why i cant use online payments?when i click pay now nothing appear	1472708366	10660	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
520	12484	245745	Why there is no result found when I click "Download & Pay bill'?How can i proceed to payment?	1472718636	10704	0	18	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	NoResultFound							
569	13651	283764	why I can"t pay bill?	1473933682	12175	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
571	13696	284041	I WANT PAY WITH MY DEBIT CARD NOW ON WEBSITES CANNOT FIND HOW TO PAID	1473938058	12188	0	15	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay							
575	13766	286518	Hi <NL>I still cannot get it <NL>After download didn't pop out the pay now button	1474008329	12284	0	15	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
578	13823	287251	Hello, My name is KImberly , I cant online pay bill	1474013759	12311	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
578	13830	287283	Yes, I press Pay Now botton, no respon	1474014003	12311	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
586	14015	288106	No response after I click pay now button	1474026864	12343	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
595	14197	292893	hye, please assist me .<NL>i cant pay my bill .when I click on PAY NOW no respond .	1474250943	12541	0	18	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
616	14725	295585	hi, Why i cannot download or pay online?	1474338910	12643	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
626	14941	296210	why i cannot pay the bil by using maybank 2 u?	1474352954	12673	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
629	15024	296507	sir...there no bank to select appeared after payment proceed	1474355540	12687	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	BillingTroubleShootingOthers							
630	15047	296825	ERROR WHEN TRY TO MAKE PAYMENT	1474358010	12695	0	6	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
632	15078	297183	hi redone<NL><NL>self try to clik download and pay bill but the pay screen does not appeal why?	1474363019	12714	0	17	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
632	15093	297205	i can enter to pay screen after key-in the amount then msg as i mentioned came up. so why shld i do now? if down load file where can i get the DDS 4 DDS	1474363637	12714	0	33	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	BillingTroubleShootingOthers							
632	15096	297217	actually when i clik download and pay there is a pop up asking to block or allow then i press allow then i can down load the bill but when i clik pay now then msg came up. so i still need to do teh step as below.	1474363932	12714	0	48	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotViewBill							
632	15099	297230	but there is no pop-ups in the setting menu	1474364264	12714	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	HowEnablePopOut							
633	15124	297222	WHY I CANT CLICK PAY NOW?	1474364058	12716	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
634	15133	297253	HI Why when i click pay now i the browser didnt response?	1474364747	12718	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
637	15201	297812	Hi, i had try make payment by online this few day but cant successful as error show out : Error reference number : 20160921 _ 7999413 	1474416781	12738	0	24	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	ErrorCode							
639	15269	297863	I want to make a paymt. But can't proceed, why?	1474417781	12741	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
640	15302	297970	hi, ur pay now function is not working...	1474420385	12745	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
641	15312	298013	ITZ REDONE SYSTERM DOWN I CANT MADE PAYMENT ...	1474421490	12747	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
642	15342	298031	why i cannot pay online?	1474421701	12749	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
648	15499	298587	That day, i make a mistake for paying my bill to redtone communication. I already send the receip to redtne company. May I know it will take how many days to process it? tq	1474430237	12772	0	34	English	Billing	Auto Debit Application	Billing	PaymentChannel	ObjectTime	False	WhenProcess							
651	15552	298933	i want to pay bill online<NL>but system not allow, what happen?<NL>any option for this?	1474439879	12789	0	14	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
651	15555	298936	pay now button was not function	1474439913	12789	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
653	15611	298990	selfcare login have a probles	1474440664	12791	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
653	15612	298991	pay now buttn was not function	1474440699	12791	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
665	15843	299811	But when I click pay online it does not come out anything?	1474459155	12828	0	12	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
666	15854	299880	why cannot make online payment?	1474460634	12832	0	5	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
666	15858	299884	last time we can direct make payment via online, why this time cant click the pay now?	1474460735	12832	0	17	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
675	16069	300490	i cant pay online ? when i click pay now , no answer for me ?	1474513530	12858	0	16	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
690	16410	301485	Why no responses when I press "pay now"	1474535814	12905	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
692	16455	301585	i clicked pay now, but nothing appear	1474537342	12910	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
692	16469	301614	yup.why nothing happenafter i clicked pay now?	1474537769	12910	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
699	16575	301828	how to pay by online...i cannot do anythng after press pay n dnwlod	1474548066	12921	0	13	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
704	16710	302174	because i click on pay now button it will not proceed	1474595516	12936	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
718	17072	303044	Why here dont have "select method to do payment"	1474615626	12973	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	BillingTroubleShootingOthers							
718	17078	303060	Im user. I'd follow the way to make online payment and click PAY NOW but theres only download auto debit form only	1474616082	12973	0	22	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	StillNotWorking							
719	17086	303128	why i can't pay online? this is what came up after I click proceed payment...>>>We are unable to process your transaction due to "invalid information received from the Merchant". Please contact your Merchant immediately.	1474621057	12980	0	34	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	ErrorCode							
720	17111	303416	how can't i save a copy of my receipt?	1474633700	12987	0	9	English	Billing	Payment Type	Billing	BillingTroubleShooting	Procedure	False	ReceiptProblem							
726	17334	304342	i normally click "pay now" at the redone page. but i dont think i can do it now	1474701153	13021	0	18	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
744	17763	305395	hai..why i cant pay bill now?	1474778441	13065	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
744	17768	305400	i already click pay now but not function	1474778539	13065	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
752	17978	306204	why cannot pay online?	1474806411	13099	0	4	English	Billing	Payment Type	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
756	18029	306413	I just made payment and it was successful, but the receipt was blank	1474849609	13107	0	13	English	Billing	Payment Status	Billing	BillingTroubleShooting	Procedure	False	ReceiptProblem							
772	18431	307430	cannot make a payment	1474878078	13151	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
781	18659	307935	i cant pay my bill via redone.com	1474886036	13170	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
787	18813	308395	wait. how come i cannot pay online?	1474932190	13190	0	7	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	WhyCannotPayBill							
