conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario							
98	2454	58304	"Morning,<NL>On 13 june 2016 11 : 02 : 29 i pay bill via JomPay (ref. no : 36 D 3 M 21 R) but i wrong input Ref 1 no.<NL>I input my I.C no at Ref. 1. <NL>I was pay Rm 50. How about my money ?"	1465956697	2664	0	36	English	Billing	Payment Status	Billing	PaymentStatus	Procedure	True	PaymentStatusOthers							
106	2622	60615	DID UR COMPANY RECEIVED ANY PAYMENT ON 4 JUNE FROM NOR HASHIRAH NABILAH BINTI RUSLI 930513115286. 	1465977170	2762	0	15	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
115	2850	62373	I forget to pay my bill.. I just done my payment..	1466035995	2830	0	11	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentStatus	None	False	InformPayment							
116	2871	62452	We settle thar amount yesterday already	1466036780	2834	0	6	English	Billing	Payment Status	Billing	PaymentStatus	None	False	InformPayment							
122	3079	66419	can u check in the redone system there's just a payment made by me just now?	1466125066	3002	0	16	English	Billing	Deposit Refund	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
136	3427	70728	I already made the payment for my number	1466320793	3197	0	8	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentStatus	None	False	InformPayment							
143	3585	75270	I just wondering if I have just over paid my bills?	1466500947	3407	0	11	English	Billing	Billing Details	Billing	BillOutstanding	ObjectNumeric	True	BillAmount							
151	3769	76679	"hi,my phone cant call out now.but last few days i paid at kiosk machine.can u check the status"	1466592130	3488	0	18	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	ObjectName	False	LineStatus							
157	3912	79277	you received the payment of 129.39 right? I made the payment like 30 mins ago	1466745430	3621	0	15	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
161	3959	81984	I a;ready paid the bill but why still in unbill status? please check !	1466929031	3743	0	14	English	Billing	Billing Details	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
165	4031	86747	"hi, i already pay the bill just now, why the bill still showing im not pay?"	1467103541	3937	0	16	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
167	4079	87022	"I have just paid to red 1, i have not receive any confirm message, can you please check?"	1467110994	3951	0	18	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
175	4252	87886	BECAUSE I DO PAYMENT LAST SUNDAY.	1467176929	3990	0	6	English	Billing	Billing Details	Billing	PaymentStatus	None	False	InformPayment							
175	4258	87892	BECAUSE I DO PAYMENT ON LAST SATURDAY. 25 / 6 <NL> RM 238.00 .<NL>I GOT SMS FROM REDONE	1467177199	3990	0	14	English	Billing	Billing Details	Billing	PaymentStatus	None	False	InformPayment							
181	4398	92758	"hi, payment via maybank 2 u need the billing acc id right?<NL>i already make payment via maybank 2 u. <NL>but when i check * 123 # , the amount still not deduct after i make the payment.<NL><NL>could you please assist me about this?<NL>or i need to wait after make the payment?"	1467335055	4219	0	45	English	Billing	Billing Details	Billing	PaymentStatus	Reason	True	WhyNotUpdated							
185	4503	93569	HOW I WANT TO DOWNLOAD & PAY BILL ONLINE?	1467340040	4249	0	9	English	Billing	Billing Details	Billing	PaymentChannel	Procedure	False	HowPay							
193	4646	94269	already paid?	1467344826	4282	0	2	English	Billing	Billing Details	Billing	BillOutstanding	ObjectName	True	BillAmount							
197	4744	94504	I paid online and timeout my bank still wasstill deducted but no record in redOne	1467347063	4294	0	15	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
202	4879	97638	payment made thru m 2 u	1467422950	4417	0	4	English	Billing	Unsuspend lines - (Within 50 days)	Billing	PaymentStatus	None	False	InformPayment							
204	4914	97950	please sent me record of my payment history.	1467427110	4427	0	8	English	Billing	Billing Details	Billing	PaymentStatus	Request	False	LastPayment							
204	4944	98037	just now i made rm 55 payment.	1467427869	4427	0	6	English	Billing	Billing Details	Billing	PaymentStatus	None	False	InformPayment							
214	5179	102498	Is my payment already in?	1467537222	4631	0	5	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
215	5202	102892	I already pay my july bill on 1 / 7 / 16 but still don't get any massage from red 1. can u chk 4 me	1467542727	4649	0	19	English	Billing	Billing Details	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
226	5500	109152	BILL PAYMENT	1467718253	4934	0	2	English	Billing	Billing Details	Billing	PaymentStatus	None	False	InformPayment							
227	5598	109256	so already received my payment ? its total RM 70 	1467720341	4937	0	9	English	Billing	Billing Details	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
254	6204	112587	i already settle the latest amount due for the account id : 201271492 	1467976447	5072	0	13	English	Billing	Billing Details	Billing	PaymentStatus	None	False	InformPayment							
254	6205	112588	here is the invoice ID after the payment was made : 1607 - 2009949946 and the bank referance num of 3335065076 	1467976550	5072	0	19	English	Billing	Billing Details	Billing	PaymentStatus	None	False	InformPayment							
254	6218	112604	Is there any problem with the payment	1467976899	5072	0	7	English	Billing	Billing Details	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
255	6247	112655	CAN I KHONW <NL>MY BILL JUNE PAYMENT PAY AREADY ?	1467977933	5074	0	10	English	Billing	Billing Details	Billing	BillOutstanding	ObjectName	True	BillAmount							
264	6461	119060	Hi! Can u check for me for the last payment	1468312974	5344	0	10	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	False	LastPayment							
264	6471	119139	On saturday i made a payment at redone agent RM 106 till now still not got any msg from redone	1468313460	5344	0	20	English	Billing	Billing Details	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
272	6705	120599	I JUST DONE THE TRANSFER PAYMENT FROM BANK ACCOUNT. MAY I KNOW IS IT SUCCESSFUL ?	1468381513	5418	0	16	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
279	6858	125037	i already pay my bills but when i check though online no record	1468484884	5609	0	13	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
288	7099	140273	i paid this evening	1468835027	6270	0	4	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentStatus	None	False	InformPayment							
292	7206	140761	I JUST MADE PAYMENT	1468845835	6287	0	4	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentStatus	None	False	InformPayment							
292	7212	140769	I USED MAYBANK 2 U	1468845963	6287	0	4	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentChannel	None	False	PaymentChannelOthers							
292	7213	140770	JOM PAID	1468845982	6287	0	2	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentChannelOthers	None	False	PaymentChannelOthers							
293	7225	142363	HI I already paid my bill for July 2017 but the system seem not update	1468914307	6343	0	15	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
313	7707	148438	when is my latest payment as per redone system record?	1469167757	6587	0	10	English	Billing	Payment Status	Billing	PaymentStatus	ObjectTime	False	LastPayment							
313	7714	148451	can you check for me my latest payment in your system>	1469168031	6587	0	11	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	LastPayment							
315	7741	148604	"How do I check my payment status after<NL>Paid? Done check 'download and pay bill', yet still have 'pay now' sign<NL><NL>No. 0111 0560 456 "	1469172391	6597	0	23	English	Billing	Billing Details	Billing	PaymentStatus	Procedure	False	HowConfirmPaymentReceived							
335	8196	171552	"hai,i would like to update my payment"	1470050863	7596	0	7	English	Billing	Payment Status	Billing	PaymentStatus	Request	False	WantUpdate							
335	8203	171565	payment made just now via maybank 2 u online banking	1470051054	7596	0	8	English	Billing	Payment Status	Billing	PaymentStatus	None	False	InformPayment							
341	8343	179054	i have already pay for August RM 27.61. but why it still send message to me that say that i havent pay??	1470211847	7932	0	21	English	Billing	Billing Details	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
348	8476	179552	hi...good evening....can you please check my payment has been received<NL> or not?	1470218599	7958	0	12	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
348	8492	179618	i have forward the payment detail.	1470219748	7958	0	6	English	Billing	Payment Status	None	None	None	False	None							
351	8573	181768	I just paid the july bill but yesterday i receive another bill. why?	1470294838	8058	0	13	English	Billing	Billing Details	Billing	BillOutstanding	Reason	False	WhyBillAmount							
357	8761	182402	how can i check it wether my payment had done previously or not	1470300264	8084	0	13	English	Billing	Make Payment - Selfcare	Billing	PaymentStatus	Procedure	False	HowConfirmPaymentReceived							
358	8776	182826	but payment not update in the system	1470305746	8099	0	7	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
358	8778	182829	can u check for me the status?	1470305756	8099	0	7	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
372	9042	194736	checking payment august 2016 	1470898455	8656	0	4	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	False	LastPayment							
372	9070	194795	"so, after i email my payment, how long u can update in your system?"	1470899366	8656	0	14	English	Billing	Payment Status	Billing	PaymentStatus	ObjectTime	False	WantUpdate							
375	9138	195560	"pls check my acc , i already made payment on 11 / 7 / 16 HLBB Credit card! But why Redone haven't receive? pls cal me 0124961001 for more detail, tq"	1470973369	8695	0	27	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
377	9173	195585	I would like to check my June Payment.	1470973609	8698	0	8	English	Billing	Billing Details	Billing	PaymentStatus	ObjectName	False	LastPayment							
383	9326	197521	I have paid redone bill tru ambank amonline Jompay this morning. Pls assist to check my payment status.<NL>Details as follow :<NL><NL>Tel no : 0122743255 <NL>Acc no: 200298761 <NL>Amount Paid : Rm 131.36 <NL>Jompay Ref : 38 DNFEYB<NL>Appreciate yr feedback asap.<NL><NL>Thank you.	1471070546	8787	0	36	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	False	ConfirmPaymentReceived							
383	9344	197553	Is it possible for Redone to notify me if payment already in?	1471070995	8787	0	12	English	Billing	Payment Status	Billing	PaymentStatus	Request	True	WantUpdate							
387	9409	197834	"Can you check for me why I receive this SMS & must pay double bill. In fact, I already paid for June bill so now I supposely pay for July bill only right?"	1471078520	8801	0	33	English	Billing	Payment Status	Billing	BillOutstanding	Reason	True	WhyBillAmount							
427	10276	213759	could plz check on my august bill? Did i settle<NL> it?sorry it should be July	1471571666	9451	0	15	English	Billing	Billing Charges	Billing	BillOutstanding	ObjectNumeric	True	BillAmount							
504	12115	240112	May I know the last payment that i did just now if for the fee of which month?	1472640430	10470	0	18	English	Billing	Billing Details	Billing	PaymentStatus	ObjectTime	False	LastPayment							
504	12123	240153	Can you please check for me the payment date that i did since i open this line?	1472640973	10470	0	17	English	Billing	Billing Details	Billing	PaymentStatus	ObjectTime	False	LastPayment							
504	12126	240156	how bout the payment before this?	1472641049	10470	0	6	English	Billing	Billing Details	Billing	PaymentStatus	ObjectName	False	LastPayment							
504	12127	240157	How many payment that I have done in this year?	1472641113	10470	0	10	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	False	LastPayment							
512	12292	244227	"HELLO, i wan to check this number already update my payment o not? Just now i got go to ask again the hello smart tel shop , they tell me my payment already made just waiting redone to update <NL>this is my number 0109308006 "	1472707279	10650	0	44	English	Billing	Payment Status	Billing	PaymentStatus	Object	False	ConfirmPaymentReceived							
528	12655	247814	"Hi my name is Afham... i already paid my bill but when i checked on credit movement, it shows 0.00. usually when i paid it will show total i pay in negative amount…"	1472780668	10798	0	33	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	PaymentStatusOthers							
529	12673	247941	just now i got made payment	1472781588	10804	0	6	English	Billing	Payment Status	Billing	PaymentStatus	None	False	InformPayment							
529	12680	247970	so did i success for the payment?	1472781763	10804	0	7	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
547	13190	267118	can u check for me just now i pay bill	1473306079	11537	0	10	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
547	13191	267121	received already or not	1473306086	11537	0	4	English	Billing	Payment Status	None	None	None	False	None							
553	13330	268743	"just now did the twice reload RM 10 each, why just showed credit RM 10 only"	1473386306	11593	0	15	English	Billing	Billing Details	Billing	BillingOthers	Reason	False	None							
561	13486	277515	"goodday,can u check for my why was d last month payment didnt pay? i was use my credit card to do d auto payment."	1473814121	11925	0	24	English	Billing	Auto Debit Application	Billing	BillingTroubleShooting	Reason	True	BillingTroubleShootingOthers							
594	14177	292668	"Hello, I already make a payment and send payment receipt on behalf Pn Nor Hayati Binti Hassan, Acc. ID: 200231787. Please respond as soon as posibble."	1474247424	12530	0	26	English	Billing	Payment Status	Billing	PaymentStatus	None	False	InformPayment							
596	14230	293009	"hi, please update my account<NL>I already made full payment<NL>Thank you."	1474251788	12545	0	10	English	Billing	Payment Status	Billing	PaymentStatus	Request	True	WantUpdate							
601	14346	293438	may i know my bill is all paid?	1474258277	12562	0	8	English	Billing	Payment Status	Billing	BillOutstanding	ObjectNumeric	True	BillAmount							
615	14693	295448	I just made a payment	1474335883	12638	0	5	English	Billing	Billing Details	Billing	PaymentStatus	None	False	InformPayment							
622	14826	296045	UPDATE PAYMENT	1474350853	12665	0	2	English	Billing	Payment Status	Billing	PaymentStatus	Request	False	WantUpdate							
622	14830	296051	kindly inform to update payment for my bill	1474350904	12665	0	8	English	Billing	Payment Status	Billing	PaymentStatus	Request	False	WantUpdate							
622	14845	296097	i made the payment thru online credit card	1474351366	12665	0	8	English	Billing	Payment Status	Billing	PaymentStatus	None	False	InformPayment							
646	15456	298457	normal we pay online like maybank 2 u need how many days to update	1474427369	12765	0	12	English	Billing	Billing Details	Billing	PaymentChannel	ObjectTime	False	WhenProcess							
650	15533	298735	already pay my september bill using JOMPAY bank islamic m'sia bhd this morning@ 0935 am	1474432481	12781	0	14	English	Billing	Billing Details	Billing	PaymentStatus	None	False	InformPayment							
650	15534	298736	when my acc will be update	1474432501	12781	0	6	English	Billing	Billing Details	None	None	None	False	None							
654	15625	299025	I pay my sept bill tru redone website using my visa card Maybank n status...successfull. Why redone never update my payment?	1474441399	12796	0	21	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
680	16165	300556	"I make payment through credit card, why blank in my receipt"	1474516392	12864	0	11	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
682	16199	300967	i had make pyt for RM 60.73 on 12 / 09 / 16 	1474523727	12882	0	8	English	Billing	Payment Status	Billing	PaymentStatus	None	False	InformPayment							
682	16201	300969	but y the amt still shown in my acct?	1474523745	12882	0	9	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
687	16322	301210	"i already paid on 12 / 09 / 16 via FPX, but y the amount still appear in my acct?"	1474527537	12893	0	16	English	Billing	Billing Charges	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
689	16375	301461	"my name is mira mastura, i was wondering, i had made payment using BIMB jomPAY, and i have received message, it say my payment was succesfull. but, when i checked on my bill, i still have unpaid bills, and i dont received any confirmation message from red 1."	1474535221	12903	0	48	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
712	16895	302560	BUT UNTIL TODAY I STILL CANNOT RECEIVED ANY MESSAGE FOR SUCESSFUL PAYMENT	1474604333	12952	0	12	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	NoNotification							
712	16899	302565	HOW MANY DAY TO MAKE IT MY PAYMENT CLEAR	1474604437	12952	0	9	English	Billing	Payment Status	Billing	PaymentChannel	ObjectTime	False	WhenProcess							
740	17674	304944	"Can u check for me, i had paid on 21 / 09 it's still status in batred?"	1474763705	13048	0	15	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectName	True	LineStatus							
756	18031	306415	please check and ensure the payment was received	1474849634	13107	0	8	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	False	ConfirmPaymentReceived							
768	18328	307030	"Hye, for bill on 1 Sep 2016 I had paid right? but why it still show ""pay now"" on ""Download & Pay Bill""?"	1474870491	13136	0	23	English	Billing	Billing Details	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
768	18335	307041	"Hye, for bill on 1 Sep 2016 I had paid right? but why it still show ""pay now"" on ""Download & Pay Bill""?"	1474870635	13136	0	23	English	Billing	Billing Details	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
771	18421	307377	so means i ady clear my latest sept bill right	1474876147	13147	0	10	English	Billing	Billing Details	Billing	BillOutstanding	ObjectNumeric	True	BillAmount							
775	18490	307506	hye i already make payment early morning yesterday..how long will update in the system?	1474878944	13155	0	14	English	Billing	Payment Status	Billing	PaymentChannel	ObjectTime	False	WhenProcess							
779	18616	307772	"i just now pay online using credit card. But somehow, the payment is done or not <NL>my number 012 - 6531376 "	1474882629	13164	0	19	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	False	ConfirmPaymentReceived							
779	18628	307788	ok check for me whether already deduct from credit card and sms me the result	1474882906	13164	0	15	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	False	ConfirmPaymentReceived							
798	19088	309022	I just make a payment RM 50 through eWallet	1474948454	13218	0	8	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	PaymentStatus	None	False	InformPayment							
828	19788	311108	"Hi, ive paid my bill using m 2 u and ive email you my POP. Why i still cant make a call?"	1475024000	13304	0	20	English	Billing	Billing Details	Billing	Barring	Reason	False	WhyStillBar							
833	19934	311526	now i just want to ask yesterday i already paid RM 50 is it posting?	1475028860	13321	0	14	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
838	20038	312114	i done make payment via maybank 2 u	1475037011	13345	0	6	English	Billing	Payment Status	Billing	PaymentStatus	None	False	InformPayment							
842	20152	312508	i have made payment of rm 500 now i cannot use my data roaming. please check	1475041785	13363	0	15	English	Billing	Un-bar lines - Increase CL from RM200 to RM300	Wrong	Wrong	ObjectName	False	None							
842	20163	312552	yes but i have made payment of rm 500 	1475042206	13363	0	8	English	Billing	Un-bar lines - Increase CL from RM200 to RM300	Billing	PaymentStatus	None	False	InformPayment							
842	20169	312558	payment of rm 500 hasn't reflected yet?	1475042333	13363	0	6	English	Billing	Un-bar lines - Increase CL from RM200 to RM300	Billing	PaymentStatus	ObjectName	False	ConfirmPaymentReceived							
845	20224	312782	I HAVE PAY THIS MONTH.. BUT NOT UPDATE YET WHY?	1475044390	13376	0	10	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
848	20281	312859	check payment	1475044925	13380	0	2	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	False	ConfirmPaymentReceived							
848	20288	312892	I had make my payment RM 150 this morning by online banking	1475045152	13380	0	12	English	Billing	Payment Status	Billing	PaymentStatus	None	False	InformPayment							
851	20333	313204	"Hello,<NL>I already paid the payment today at amount 165 but still the acct not updated and my internet receive so slow.."	1475049164	13392	0	21	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
852	20360	313304	I WOULD LIKE TO ASK WHY MY ACCOUNT STILL NOT YET UPDATE SINCE I HAD PAY THE BILLS LAST FEWS DAYS	1475050160	13396	0	21	English	Billing	Increase credit limit	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
854	20403	313424	I already made payment on 1 Sep' 16 anf the amount paid is RM 65.42 how come online still show it's outstanding amount?	1475051353	13404	0	21	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
857	20447	313688	Is my payment online a little while ago sussessful?	1475057019	13415	0	9	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	False	ConfirmPaymentReceived							
863	20621	313916	I just made a payment of RM 10 <NL>but I didn't receive the receipt	1475065159	13427	0	12	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	NoNotification							
869	20826	314298	Please help to check when last time I pay d redone bill...bcoz i didnt see my pymnt of d current bill...tq	1475109402	13439	0	21	English	Billing	Billing Details	Billing	PaymentStatus	ObjectName	False	LastPayment							
869	20833	314322	"Tx for checking..i aldy receive d oct bill..but when i check,didnt state dat i have paid as a u mention..n d total oso dont deduct d pymnt yet..anything prblm?"	1475109866	13439	0	29	English	Billing	Billing Details	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
870	20842	314417	"Hi there, would like to ask about my bill update. Since I just paid my bill for Sept yesterday, I still got a message remind me to pay the bill before 14 Oct 2016. "	1475111238	13445	0	34	English	Billing	Billing Details	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
879	21093	315628	I PAID THE BILL BUT WHEN I LOOK AT THE INVOICE STATEMENT THAT I HAVE AROUND 8 RINGGIT NOT SETTLE THE BILL. I HAVE PAID ALMOST 27 RINGGIT..	1475133256	13495	0	28	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount							
883	21220	315971	i just want to make confirmation in case u did not get my last payment which is amount of RM 200. 	1475137073	13505	0	21	English	Billing	Billing Charges	Billing	PaymentStatus	Request	False	ConfirmPaymentReceived							
890	21402	316251	HI I HAVE ALREADY PAY LAST MONTH REDONE BILL BUT SHY STILL HAVE BALANCE BRING FORWARD?	1475143088	13520	0	16	English	Billing	Payment Status	Billing	BillBreakdown	Reason	False	WhyItemAmount							
891	21415	316365	can you check my account 200777515 sep 2016 payment already made?	1475145398	13523	0	11	English	Billing	Payment Status	Billing	BillOutstanding	ObjectNumeric	True	BillAmount							
898	21611	316863	any unsuccessful credit card transactions for today? the ones i tried since this morning.	1475201673	13544	0	14	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	ObjectName	True	TransactionCannotGoThrough							
899	21619	316960	HI...Can you check this number 0128089559 <NL>?cos I did the double payment <NL>TKS	1475202827	13550	0	12	English	Billing	Deposit Refund	Billing	BillingOthers	None	True	DoublePayment							
1203	29548	347816	It seems that RedOne did not register my payment made for June's bill	1476073631	14887	0	13	English	Billing	Billing Details	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
1206	29621	347918	I dont think RedOne registered the payment I made for my June's bill	1476075419	14892	0	13	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
1206	29623	347922	even though I did pay on 29 / 6 via Internet GIRO payment	1476075502	14892	0	11	English	Billing	Payment Status	Billing	PaymentStatus	None	False	InformPayment							
1208	29704	348404	PLEASE ADJUST THE BILL AS YOU KNEW MY EXPLANATION	1476080829	14908	0	9	English	Billing	Billing Charges	Billing	BillingOthers	Request	False	None							
1210	29765	348275	my bill status	1476079860	14911	0	3	English	Billing	Billing Details	Billing	BillOutstanding	ObjectNumeric	False	BillAmount							
1215	29915	349446	hi can u check for me payment j.now successful or not?	1476104046	14952	0	11	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
1220	30068	350124	technical failed..so is my transaction done?	1476161035	14979	0	6	English	Billing	Make Payment - Selfcare	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
1225	30151	351055	i WOULD LIKE TO CHECK MY PAYMENT IS IT SUCCESSFULLY?	1476175298	15020	0	10	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
1228	30240	351963	hv u recieved my payment for this no. 011 - 1082 1925 	1476238298	15055	0	10	English	Billing	Unsuspend lines - (Within 50 days)	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
1228	30241	351964	i pay by maybank 2 u yesterday at 9. ++ pm	1476238327	15055	0	9	English	Billing	Unsuspend lines - (Within 50 days)	Billing	PaymentStatus	None	False	InformPayment							
1235	30410	352415	Hi. I've made payment for October and September but my bill is still not cleared. Can u check? For October I made payment on 28 th September 20 : 38 : 38 PM<NL>Ref # 83815854 from account 7035980892 to T 111389838400 for the amount RM 51 	1476245017	15072	0	39	English	Billing	Payment Status	Billing	PaymentStatus	Reason	True	WhyNotUpdated							
1254	30757	353164	PAYMENT	1476260196	15110	0	1	English	Billing	Deposit Refund	None	None	None	False	None							
1254	30763	353174	"due to unscuessful pay,emt"	1476260327	15110	0	4	English	Billing	Deposit Refund	None	None	None	False	None							
1254	30767	353179	i have open a ticket for my 1 st payment. where it is successfull but not receive by redONE	1476260429	15110	0	18	English	Billing	Deposit Refund	Wrong	Wrong	None	False	None							
1254	30768	353183	then the customer care said i should contact ipay 88 support	1476260469	15110	0	10	English	Billing	Deposit Refund	Billing	PaymentChannel	None	False	PaymentChannelOthers							
1254	30769	353186	i have contact them and they said that the paymnet is sucessful	1476260485	15110	0	12	English	Billing	Deposit Refund	Billing	PaymentStatus	None	False	ConfirmPaymentReceived							
1254	30773	353202	138.80 at 5 october	1476260626	15110	0	4	English	Billing	Deposit Refund	None	None	None	False	None							
1254	30774	353204	i made 2 payment. with the same amount	1476260641	15110	0	8	English	Billing	Deposit Refund	Billing	PaymentStatus	None	False	LastPayment							
1254	30775	353207	during 5 october redONE said dont recieve my payment trhough bank islam internet banking fpx	1476260670	15110	0	15	English	Billing	Deposit Refund	Billing	PaymentStatus	None	False	WhyNotUpdated							
1254	30776	353208	so i made another paymnet through proper bank islam internet banking	1476260689	15110	0	11	English	Billing	Deposit Refund	Billing	PaymentChannel	None	False	PaymentChannelOthers							
1254	30779	353224	i payment 8.48 for other number	1476260894	15110	0	6	English	Billing	Deposit Refund	Billing	PaymentStatus	None	False	LastPayment							
1254	30784	353244	so redone recieve the payment	1476261154	15110	0	5	English	Billing	Deposit Refund	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
